Depth	Site_count
0	773
1	742
2	1407
3	1252
4	1363
5	1982
6	2515
7	2299
8	2555
9	3216
10	3338
11	3062
12	3382
13	3290
14	3352
15	3042
16	3616
17	3942
18	3446
19	3415
20	3509
21	3626
22	3597
23	3436
24	3287
25	3055
26	3064
27	3004
28	3225
29	3342
30	3182
31	3287
32	2949
33	3433
34	3364
35	3349
36	3301
37	3263
38	3075
39	3254
40	3439
41	3433
42	3254
43	3387
44	3524
45	3209
46	3223
47	3099
48	2951
49	2627
50	2882
51	2894
52	2868
53	3065
54	2938
55	2955
56	3115
57	2937
58	2941
59	2645
60	2733
61	2568
62	2568
63	2414
64	2460
65	2349
66	2515
67	2529
68	2712
69	2470
70	2403
71	2244
72	2253
73	2389
74	2352
75	2217
76	2054
77	2159
78	2025
79	1954
80	1934
81	1932
82	1853
83	1863
84	1763
85	1768
86	1862
87	1859
88	1744
89	1689
90	1632
91	1664
92	1588
93	1612
94	1577
95	1533
96	1374
97	1410
98	1423
99	1411
100	1344
101	1445
102	1495
103	1469
104	1468
105	1287
106	1373
107	1360
108	1348
109	1285
110	1319
111	1266
112	1317
113	1264
114	1252
115	1304
116	1362
117	1386
118	1292
119	1322
120	1217
121	1233
122	1300
123	1273
124	1237
125	1195
126	1077
127	1073
128	1254
129	1188
130	1133
131	1071
132	1137
133	1137
134	1166
135	1148
136	1182
137	1213
138	1174
139	1099
140	1037
141	974
142	897
143	973
144	1009
145	974
146	989
147	943
148	836
149	879
150	906
151	891
152	854
153	806
154	862
155	882
156	872
157	754
158	679
159	748
160	781
161	685
162	765
163	714
164	714
165	748
166	591
167	645
168	612
169	714
170	660
171	664
172	697
173	692
174	676
175	670
176	602
177	574
178	611
179	639
180	599
181	600
182	585
183	550
184	597
185	575
186	535
187	474
188	557
189	583
190	526
191	505
192	470
193	491
194	502
195	538
196	492
197	488
198	528
199	420
200	467
201	467
202	472
203	382
204	445
205	441
206	488
207	517
208	449
209	446
210	354
211	455
212	431
213	447
214	455
215	417
216	458
217	381
218	399
219	425
220	446
221	403
222	434
223	459
224	416
225	397
226	440
227	363
228	346
229	355
230	394
231	369
232	341
233	354
234	371
235	381
236	380
237	351
238	372
239	357
240	338
241	367
242	351
243	283
244	321
245	294
246	358
247	319
248	304
249	329
250	340
251	295
252	336
253	356
254	333
255	303
256	314
257	300
258	330
259	291
260	296
261	342
262	303
263	332
264	346
265	360
266	329
