Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	9203	1016	4075
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	3774	711	1784
mitochondrial_cp-Cma-HisGTG-15	8723	1014	1256
mitochondrial_cp-Cma-IleCAT-12	465	85	200
mitochondrial_cp-Cma-IleCAT-13	44	5	5
mitochondrial_cp-Cma-LeuTAG-16	429	95	172
mitochondrial_cp-Cma-SerGCT-11	0	0	0
mitochondrial_cp-Cma-TrpCCA-14	1184	253	451
mitochondrial_cp-Cma-TyrGTA-17	0	0	0
mitochondrial_fungal-Cma-GlnTTG-22	723	56	106
mitochondrial_fungal-Cma-GluTTC-20	0	0	1
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	102	18	648
mitochondrial_fungal-Cma-SerGCT-23	8	3	2
mitochondrial_fungal-Cma-ThrTGT-21	0	0	0
mitochondrial_native-Cma-AsnGTT-8	7609	824	1392
mitochondrial_native-Cma-AspGTC-7	6215	1594	2971
mitochondrial_native-Cma-CysGCA-3	846	115	173
mitochondrial_native-Cma-GluTTC-1	8438	1309	1432
mitochondrial_native-Cma-IleCAT-5	1	0	8
mitochondrial_native-Cma-LysTTT-6	3438	536	1160
mitochondrial_native-Cma-TyrGTA-4	3224	760	1842
mitochondrial_native-Cma-eMetCAT-9	2534	257	361
mitochondrial_native-Cma-iMetCAT-2	18018	1986	3119
nuclear-Ath-AlaAGC-171748	476753	212371	783960
nuclear-Ath-AlaAGC-171749	157	69	209
nuclear-Ath-AlaAGC-183743	170	85	309
nuclear-Ath-AlaCGC-171750	64	16	81
nuclear-Ath-AlaCGC-171752	171354	68932	239233
nuclear-Ath-AlaCGC-183744	15	5	9
nuclear-Ath-AlaTGC-171747	115909	52847	181664
nuclear-Ath-AlaTGC-171751	63665	32678	117113
nuclear-Ath-ArgACG-171679	0	0	0
nuclear-Ath-ArgACG-171680	1	6	3
nuclear-Ath-ArgACG-171681	40172	12725	8766
nuclear-Ath-ArgACG-171682	0	1	0
nuclear-Ath-ArgACG-171683	0	0	0
nuclear-Ath-ArgACG-171772	0	0	0
nuclear-Ath-ArgCCG-171678	79073	14460	24857
nuclear-Ath-ArgCCG-171686	625	90	163
nuclear-Ath-ArgCCG-183763	0	3	1
nuclear-Ath-ArgCCT-171715	1	1	14
nuclear-Ath-ArgCCT-171716	55705	17663	19572
nuclear-Ath-ArgCCT-171719	0	0	3
nuclear-Ath-ArgTCG-171676	85193	30329	32872
nuclear-Ath-ArgTCG-171677	116	19	20
nuclear-Ath-ArgTCT-171693	0	0	0
nuclear-Ath-ArgTCT-171694	2	0	0
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	61	33	115
nuclear-Ath-ArgTCT-171714	8936	1210	1991
nuclear-Ath-ArgTCT-171717	16	0	3
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	103	23	17
nuclear-Ath-AsnGTT-171727	4	0	1
nuclear-Ath-AsnGTT-171729	12	4	3
nuclear-Ath-AsnGTT-183736	31018	9716	11902
nuclear-Ath-AsnGTT-183737	0	0	1
nuclear-Ath-AsnGTT-183738	1	1	2
nuclear-Ath-AsnGTT-183739	1	0	2
nuclear-Ath-AspGTC-171804	347101	107762	104294
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	32	16	56
nuclear-Ath-AspGTC-183757	16	5	28
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	22613	3278	5376
nuclear-Ath-CysGCA-171757	2	0	0
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	2	1	1
nuclear-Ath-CysGCA-171762	8	0	1
nuclear-Ath-CysGCA-183716	0	0	0
nuclear-Ath-CysGCA-183742	0	0	0
nuclear-Ath-CysGCA-183745	5	0	0
nuclear-Ath-GlnCTG-171763	42136	4286	7058
nuclear-Ath-GlnCTG-171765	42	2	21
nuclear-Ath-GlnCTG-171773	3	0	0
nuclear-Ath-GlnCTG-171774	33945	4670	8216
