Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	440	12943	31158
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	3460	906	2477
mitochondrial_cp-Cma-HisGTG-15	8938	2647	3995
mitochondrial_cp-Cma-IleCAT-12	793	280	776
mitochondrial_cp-Cma-IleCAT-13	6	87	54
mitochondrial_cp-Cma-LeuTAG-16	138	138	106
mitochondrial_cp-Cma-SerGCT-11	0	0	0
mitochondrial_cp-Cma-TrpCCA-14	783	271	632
mitochondrial_cp-Cma-TyrGTA-17	0	0	0
mitochondrial_fungal-Cma-GlnTTG-22	331	52	145
mitochondrial_fungal-Cma-GluTTC-20	0	0	0
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	111	18	652
mitochondrial_fungal-Cma-SerGCT-23	0	14	2
mitochondrial_fungal-Cma-ThrTGT-21	0	0	0
mitochondrial_native-Cma-AsnGTT-8	3116	734	1379
mitochondrial_native-Cma-AspGTC-7	3836	1142	2903
mitochondrial_native-Cma-CysGCA-3	578	379	290
mitochondrial_native-Cma-GluTTC-1	5435	2447	5303
mitochondrial_native-Cma-IleCAT-5	2	0	1
mitochondrial_native-Cma-LysTTT-6	1253	354	875
mitochondrial_native-Cma-TyrGTA-4	2831	916	3781
mitochondrial_native-Cma-eMetCAT-9	1558	479	586
mitochondrial_native-Cma-iMetCAT-2	19430	3011	5586
nuclear-Ath-AlaAGC-171748	109042	77202	435087
nuclear-Ath-AlaAGC-171749	206	159	899
nuclear-Ath-AlaAGC-183743	340	202	1452
nuclear-Ath-AlaCGC-171750	94	93	479
nuclear-Ath-AlaCGC-171752	33356	26772	190769
nuclear-Ath-AlaCGC-183744	24	5	22
nuclear-Ath-AlaTGC-171747	22232	17511	103929
nuclear-Ath-AlaTGC-171751	8627	7790	44653
nuclear-Ath-ArgACG-171679	0	0	0
nuclear-Ath-ArgACG-171680	55	18	44
nuclear-Ath-ArgACG-171681	54445	22837	27703
nuclear-Ath-ArgACG-171682	12	1	1
nuclear-Ath-ArgACG-171683	0	0	2
nuclear-Ath-ArgACG-171772	0	0	0
nuclear-Ath-ArgCCG-171678	72755	16381	35233
nuclear-Ath-ArgCCG-171686	922	284	665
nuclear-Ath-ArgCCG-183763	1	0	3
nuclear-Ath-ArgCCT-171715	2	0	7
nuclear-Ath-ArgCCT-171716	46510	17468	27326
nuclear-Ath-ArgCCT-171719	3	5	3
nuclear-Ath-ArgTCG-171676	77501	34202	62355
nuclear-Ath-ArgTCG-171677	296	129	215
