Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	3617	506	1818
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	1393	323	1420
mitochondrial_cp-Cma-HisGTG-15	1854	285	687
mitochondrial_cp-Cma-IleCAT-12	137	54	371
mitochondrial_cp-Cma-IleCAT-13	51	6	36
mitochondrial_cp-Cma-LeuTAG-16	76	11	49
mitochondrial_cp-Cma-SerGCT-11	0	0	0
mitochondrial_cp-Cma-TrpCCA-14	132	32	89
mitochondrial_cp-Cma-TyrGTA-17	0	0	0
mitochondrial_fungal-Cma-GlnTTG-22	53	6	19
mitochondrial_fungal-Cma-GluTTC-20	1	0	0
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	23	0	395
mitochondrial_fungal-Cma-SerGCT-23	3	0	1
mitochondrial_fungal-Cma-ThrTGT-21	0	1	0
mitochondrial_native-Cma-AsnGTT-8	1237	146	489
mitochondrial_native-Cma-AspGTC-7	518	116	543
mitochondrial_native-Cma-CysGCA-3	467	81	135
mitochondrial_native-Cma-GluTTC-1	1665	286	693
mitochondrial_native-Cma-IleCAT-5	0	0	1
mitochondrial_native-Cma-LysTTT-6	109	27	193
mitochondrial_native-Cma-TyrGTA-4	1130	322	1594
mitochondrial_native-Cma-eMetCAT-9	240	37	72
mitochondrial_native-Cma-iMetCAT-2	1198	118	544
nuclear-Ath-AlaAGC-171748	72355	45072	407096
nuclear-Ath-AlaAGC-171749	628	344	2948
nuclear-Ath-AlaAGC-183743	2946	1469	15343
nuclear-Ath-AlaCGC-171750	88	51	310
nuclear-Ath-AlaCGC-171752	11833	5978	48874
nuclear-Ath-AlaCGC-183744	152	34	113
nuclear-Ath-AlaTGC-171747	17216	11706	97175
nuclear-Ath-AlaTGC-171751	6974	5612	42672
nuclear-Ath-ArgACG-171679	3	2	3
nuclear-Ath-ArgACG-171680	34	3	10
nuclear-Ath-ArgACG-171681	15740	8678	6356
nuclear-Ath-ArgACG-171682	3	6	3
nuclear-Ath-ArgACG-171683	11	0	5
nuclear-Ath-ArgACG-171772	1	0	1
nuclear-Ath-ArgCCG-171678	29622	5026	17745
nuclear-Ath-ArgCCG-171686	189	35	97
nuclear-Ath-ArgCCG-183763	0	0	0
nuclear-Ath-ArgCCT-171715	1	0	14
nuclear-Ath-ArgCCT-171716	14348	4278	8020
nuclear-Ath-ArgCCT-171719	1	0	1
nuclear-Ath-ArgTCG-171676	44621	15350	33776
nuclear-Ath-ArgTCG-171677	162	34	87
nuclear-Ath-ArgTCT-171693	1	0	0
nuclear-Ath-ArgTCT-171694	30	6	15
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	10267	1711	5397
nuclear-Ath-ArgTCT-171714	12332	1953	6633
nuclear-Ath-ArgTCT-171717	1358	266	1113
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	485	147	414
nuclear-Ath-AsnGTT-171727	1087	372	984
nuclear-Ath-AsnGTT-171729	2661	1018	2740
nuclear-Ath-AsnGTT-183736	7352	3757	12497
nuclear-Ath-AsnGTT-183737	1	0	1
nuclear-Ath-AsnGTT-183738	1124	353	941
nuclear-Ath-AsnGTT-183739	0	1	35
nuclear-Ath-AspGTC-171804	70105	20099	31581
nuclear-Ath-AspGTC-183754	1	0	0
nuclear-Ath-AspGTC-183755	0	0	1
nuclear-Ath-AspGTC-183756	12	2	1077
nuclear-Ath-AspGTC-183757	8	3	302
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	1568	242	944
nuclear-Ath-CysGCA-171757	4	1	3
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	0	0	0
nuclear-Ath-CysGCA-171762	32	5	19
nuclear-Ath-CysGCA-183716	0	0	6
nuclear-Ath-CysGCA-183742	0	0	0
nuclear-Ath-CysGCA-183745	14	4	5
nuclear-Ath-GlnCTG-171763	6613	848	1991
nuclear-Ath-GlnCTG-171765	257	45	98
nuclear-Ath-GlnCTG-171773	0	0	0
nuclear-Ath-GlnCTG-171774	4899	841	2038
nuclear-Ath-GlnCTG-171775	6	1	10
nuclear-Ath-GlnTTG-171777	7196	1489	3298
nuclear-Ath-GlnTTG-183749	0	0	23
nuclear-Ath-GluCTC-171821	1	0	2
nuclear-Ath-GluCTC-171824	5174	761	2390
nuclear-Ath-GluCTC-171825	11140	1648	5156
nuclear-Ath-GluCTC-183765	575	112	335
nuclear-Ath-GluTTC-171820	0	0	8
nuclear-Ath-GluTTC-171822	3	0	0
nuclear-Ath-GluTTC-171826	31	5	13
nuclear-Ath-GluTTC-183764	8814	1484	5588
nuclear-Ath-GlyCCC-171713	46468	13231	30741
nuclear-Ath-GlyGCC-171688	8	0	15
nuclear-Ath-GlyGCC-171690	84	17	258
nuclear-Ath-GlyGCC-171691	78145	18414	54995
nuclear-Ath-GlyGCC-171692	318	55	118
nuclear-Ath-GlyGCC-183730	0	0	0
nuclear-Ath-GlyTCC-171720	12310	4882	20682
nuclear-Ath-HisGTG-171768	2121	768	3812
nuclear-Ath-HisGTG-171770	10624	4031	17188
nuclear-Ath-HisGTG-183747	2	0	2
nuclear-Ath-HisGTG-183748	0	0	0
nuclear-Ath-IleAAT-171735	24087	18212	188182
nuclear-Ath-IleAAT-171736	1	0	310
nuclear-Ath-IleTAT-171721	0	0	0
nuclear-Ath-IleTAT-171764	371	285	632
nuclear-Ath-LeuAAG-171816	18994	8975	35494
nuclear-Ath-LeuAAG-171817	20238	9480	37580
nuclear-Ath-LeuCAA-171786	16696	6598	18965
nuclear-Ath-LeuCAA-171787	6442	2348	7143
nuclear-Ath-LeuCAA-171789	14887	5593	16426
nuclear-Ath-LeuCAA-171790	15	9	35
nuclear-Ath-LeuCAA-183751	7809	2784	8980
