Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	440	12943	31158
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	3754	956	2585
mitochondrial_cp-Cma-HisGTG-15	10509	3088	4599
mitochondrial_cp-Cma-IleCAT-12	795	281	828
mitochondrial_cp-Cma-IleCAT-13	8	87	130
mitochondrial_cp-Cma-LeuTAG-16	138	138	109
mitochondrial_cp-Cma-SerGCT-11	0	0	0
mitochondrial_cp-Cma-TrpCCA-14	996	313	750
mitochondrial_cp-Cma-TyrGTA-17	0	0	0
mitochondrial_fungal-Cma-GlnTTG-22	331	52	145
mitochondrial_fungal-Cma-GluTTC-20	0	0	0
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	111	18	652
mitochondrial_fungal-Cma-SerGCT-23	0	14	2
mitochondrial_fungal-Cma-ThrTGT-21	0	0	0
mitochondrial_native-Cma-AsnGTT-8	3181	747	1392
mitochondrial_native-Cma-AspGTC-7	3836	1142	2903
mitochondrial_native-Cma-CysGCA-3	578	379	290
mitochondrial_native-Cma-GluTTC-1	5435	2447	5303
mitochondrial_native-Cma-IleCAT-5	2	0	1
mitochondrial_native-Cma-LysTTT-6	1253	354	875
mitochondrial_native-Cma-TyrGTA-4	2831	916	3781
mitochondrial_native-Cma-eMetCAT-9	1565	479	588
mitochondrial_native-Cma-iMetCAT-2	19430	3011	5586
nuclear-Ath-AlaAGC-171748	109084	77227	435389
nuclear-Ath-AlaAGC-171749	994	635	3063
nuclear-Ath-AlaAGC-183743	7613	4709	34057
nuclear-Ath-AlaCGC-171750	349	281	1494
nuclear-Ath-AlaCGC-171752	33487	26815	191079
nuclear-Ath-AlaCGC-183744	150	37	156
nuclear-Ath-AlaTGC-171747	35411	27695	167702
nuclear-Ath-AlaTGC-171751	14177	13287	73531
nuclear-Ath-ArgACG-171679	20	13	6
nuclear-Ath-ArgACG-171680	97	26	62
nuclear-Ath-ArgACG-171681	54511	22869	27739
nuclear-Ath-ArgACG-171682	46	18	23
nuclear-Ath-ArgACG-171683	14	8	12
nuclear-Ath-ArgACG-171772	0	0	2
nuclear-Ath-ArgCCG-171678	72756	16383	35233
nuclear-Ath-ArgCCG-171686	922	284	665
nuclear-Ath-ArgCCG-183763	1	2	3
nuclear-Ath-ArgCCT-171715	15	2	29
nuclear-Ath-ArgCCT-171716	46583	17478	27367
nuclear-Ath-ArgCCT-171719	61	21	15
nuclear-Ath-ArgTCG-171676	77554	34233	62378
nuclear-Ath-ArgTCG-171677	362	147	239
