NODE_2_length_57943_cov_64.435617	Scaffold2
NODE_3_length_45665_cov_62.331747	Scaffold3
NODE_4_length_37369_cov_59.438897	Scaffold4
NODE_5_length_29163_cov_69.557716	Scaffold5
NODE_6_length_26066_cov_68.569913	Scaffold6
NODE_7_length_24149_cov_47.484768	Scaffold7
NODE_8_length_22704_cov_88.064859	Scaffold8
NODE_9_length_21924_cov_58.082445	Scaffold9
NODE_10_length_21865_cov_77.635076	Scaffold10
NODE_11_length_21003_cov_58.862994	Scaffold11
NODE_12_length_20939_cov_60.597778	Scaffold12
NODE_13_length_18954_cov_67.283401	Scaffold13
NODE_14_length_18603_cov_64.764018	Scaffold14
NODE_15_length_18426_cov_67.774754	Scaffold15
NODE_16_length_18142_cov_70.883231	Scaffold16
NODE_17_length_16587_cov_52.682616	Scaffold17
NODE_18_length_15957_cov_64.582442	Scaffold18
NODE_19_length_13734_cov_62.887565	Scaffold19
NODE_20_length_13468_cov_53.388802	Scaffold20
NODE_28_length_9743_cov_64.564306	Scaffold28
NODE_35_length_8059_cov_52.278236	Scaffold35
NODE_39_length_7776_cov_75.331434	Scaffold39
NODE_46_length_7125_cov_59.914003	Scaffold46
