Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	10337	1591	4444
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	6884	1129	2908
mitochondrial_cp-Cma-HisGTG-15	10786	1423	2548
mitochondrial_cp-Cma-IleCAT-12	811	187	584
mitochondrial_cp-Cma-IleCAT-13	177	44	117
mitochondrial_cp-Cma-LeuTAG-16	649	83	188
mitochondrial_cp-Cma-SerGCT-11	0	0	0
mitochondrial_cp-Cma-TrpCCA-14	1719	283	591
mitochondrial_cp-Cma-TyrGTA-17	0	0	0
mitochondrial_fungal-Cma-GlnTTG-22	968	113	151
mitochondrial_fungal-Cma-GluTTC-20	0	0	1
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	183	21	1285
mitochondrial_fungal-Cma-SerGCT-23	11	3	8
mitochondrial_fungal-Cma-ThrTGT-21	3	1	0
mitochondrial_native-Cma-AsnGTT-8	13318	1323	2470
mitochondrial_native-Cma-AspGTC-7	6397	1417	2985
mitochondrial_native-Cma-CysGCA-3	2000	311	403
mitochondrial_native-Cma-GluTTC-1	10400	1433	2443
mitochondrial_native-Cma-IleCAT-5	11	1	1
mitochondrial_native-Cma-LysTTT-6	1902	294	964
mitochondrial_native-Cma-TyrGTA-4	5787	1312	2952
mitochondrial_native-Cma-eMetCAT-9	3134	464	525
mitochondrial_native-Cma-iMetCAT-2	23593	2533	4837
nuclear-Ath-AlaAGC-171748	674542	262138	918819
nuclear-Ath-AlaAGC-171749	3912	1230	4414
nuclear-Ath-AlaAGC-183743	52316	15142	57950
nuclear-Ath-AlaCGC-171750	705	264	883
nuclear-Ath-AlaCGC-171752	143076	52380	197973
nuclear-Ath-AlaCGC-183744	1279	251	668
nuclear-Ath-AlaTGC-171747	231599	88578	289701
nuclear-Ath-AlaTGC-171751	77692	36301	108490
nuclear-Ath-ArgACG-171679	18	2	0
nuclear-Ath-ArgACG-171680	175	26	37
nuclear-Ath-ArgACG-171681	90661	25164	19100
nuclear-Ath-ArgACG-171682	29	8	17
nuclear-Ath-ArgACG-171683	31	5	5
nuclear-Ath-ArgACG-171772	0	1	2
nuclear-Ath-ArgCCG-171678	126990	21814	34993
nuclear-Ath-ArgCCG-171686	837	137	192
nuclear-Ath-ArgCCG-183763	2	0	1
nuclear-Ath-ArgCCT-171715	26	5	62
nuclear-Ath-ArgCCT-171716	99330	23761	26577
nuclear-Ath-ArgCCT-171719	8	4	3
nuclear-Ath-ArgTCG-171676	172936	46365	58350
nuclear-Ath-ArgTCG-171677	952	235	279
nuclear-Ath-ArgTCT-171693	1	0	0
nuclear-Ath-ArgTCT-171694	113	5	17
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	51841	6957	11322
nuclear-Ath-ArgTCT-171714	66809	8822	14747
nuclear-Ath-ArgTCT-171717	5112	752	1677
nuclear-Ath-ArgTCT-183731	0	1	0
nuclear-Ath-AsnGTT-171725	2295	513	587
nuclear-Ath-AsnGTT-171727	8490	2059	2378
nuclear-Ath-AsnGTT-171729	22830	6625	7490
nuclear-Ath-AsnGTT-183736	48470	17347	21492
nuclear-Ath-AsnGTT-183737	2	1	0
nuclear-Ath-AsnGTT-183738	8345	2132	2157
nuclear-Ath-AsnGTT-183739	13	2	136
nuclear-Ath-AspGTC-171804	510658	125332	130562
nuclear-Ath-AspGTC-183754	6	2	6
nuclear-Ath-AspGTC-183755	1	0	6
nuclear-Ath-AspGTC-183756	119	35	2178
nuclear-Ath-AspGTC-183757	47	21	590
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	11	0	0
nuclear-Ath-CysGCA-171756	17900	3003	6008
nuclear-Ath-CysGCA-171757	19	4	7
nuclear-Ath-CysGCA-171758	0	0	3
nuclear-Ath-CysGCA-171759	5	0	2
nuclear-Ath-CysGCA-171762	290	36	70
nuclear-Ath-CysGCA-183716	0	0	3
nuclear-Ath-CysGCA-183742	7	0	0
nuclear-Ath-CysGCA-183745	175	21	36
nuclear-Ath-GlnCTG-171763	57564	6512	11211
nuclear-Ath-GlnCTG-171765	2573	280	446
nuclear-Ath-GlnCTG-171773	1	0	0
nuclear-Ath-GlnCTG-171774	42750	6448	11412
nuclear-Ath-GlnCTG-171775	53	7	29
nuclear-Ath-GlnTTG-171777	90027	16083	12048
nuclear-Ath-GlnTTG-183749	12	3	82
nuclear-Ath-GluCTC-171821	20	4	24
nuclear-Ath-GluCTC-171824	27574	4209	7755
nuclear-Ath-GluCTC-171825	111555	17673	35622
nuclear-Ath-GluCTC-183765	8355	1426	2761
nuclear-Ath-GluTTC-171820	3	1	38
nuclear-Ath-GluTTC-171822	27	7	2
nuclear-Ath-GluTTC-171826	283	41	74
nuclear-Ath-GluTTC-183764	93178	12917	21032
nuclear-Ath-GlyCCC-171713	249290	56269	85874
nuclear-Ath-GlyGCC-171688	23	6	9
nuclear-Ath-GlyGCC-171690	921	156	575
nuclear-Ath-GlyGCC-171691	519115	94032	149398
nuclear-Ath-GlyGCC-171692	1096	215	408
nuclear-Ath-GlyGCC-183730	1	0	0
nuclear-Ath-GlyTCC-171720	198920	56602	103997
nuclear-Ath-HisGTG-171768	9617	2620	7454
nuclear-Ath-HisGTG-171770	58869	16352	39090
nuclear-Ath-HisGTG-183747	1	3	11
nuclear-Ath-HisGTG-183748	0	0	0
nuclear-Ath-IleAAT-171735	267666	92403	307735
nuclear-Ath-IleAAT-171736	9	0	1704
nuclear-Ath-IleTAT-171721	0	0	0
nuclear-Ath-IleTAT-171764	3882	1931	2130
nuclear-Ath-LeuAAG-171816	142834	40419	62838
nuclear-Ath-LeuAAG-171817	160287	45700	69935
nuclear-Ath-LeuCAA-171786	175385	45921	56810
nuclear-Ath-LeuCAA-171787	78117	19697	24499
nuclear-Ath-LeuCAA-171789	121189	31717	38367
nuclear-Ath-LeuCAA-171790	269	48	86
nuclear-Ath-LeuCAA-183751	86018	21939	27168
nuclear-Ath-LeuCAG-171781	265151	72653	86070
nuclear-Ath-LeuTAA-171698	31279	7015	10017
nuclear-Ath-LeuTAA-171699	126984	31523	31658
nuclear-Ath-LeuTAA-171791	8	1	4
nuclear-Ath-LeuTAG-171673	386	101	123
nuclear-Ath-LeuTAG-171675	268830	104490	134316
nuclear-Ath-LeuTAG-171685	141269	52586	82805
nuclear-Ath-LysCTT-171703	4756	966	1461
nuclear-Ath-LysCTT-171704	579389	102145	131881
nuclear-Ath-LysCTT-183733	72	16	99
nuclear-Ath-LysTTT-171707	1577	221	170
nuclear-Ath-LysTTT-171712	12820	1714	1941
nuclear-Ath-LysTTT-183734	1894	288	243
nuclear-Ath-LysTTT-183735	0	0	0
nuclear-Ath-PheGAA-171718	61663	22408	32230
nuclear-Ath-ProAGG-171737	103805	15414	25010
nuclear-Ath-ProAGG-171738	1	0	213
nuclear-Ath-ProAGG-171743	41	7	9
nuclear-Ath-ProCGG-171739	60	6	185
nuclear-Ath-ProCGG-171760	0	0	0
nuclear-Ath-ProCGG-171761	84289	11207	22951
nuclear-Ath-ProTGG-171741	1419	190	552
nuclear-Ath-ProTGG-171744	51601	7150	12315
nuclear-Ath-ProTGG-183741	1989	322	740
nuclear-Ath-SerAGA-171812	25530	7270	13945
nuclear-Ath-SerAGA-171813	29496	8266	14304
nuclear-Ath-SerAGA-171814	13777	3987	8306
nuclear-Ath-SerAGA-171815	22246	7431	11812
nuclear-Ath-SerAGA-183750	9	7	39
nuclear-Ath-SerAGA-183759	1958	827	2221
nuclear-Ath-SerAGA-183760	0	0	0
