Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	10337	1591	4444
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	6753	1110	2859
mitochondrial_cp-Cma-HisGTG-15	10479	1380	2483
mitochondrial_cp-Cma-IleCAT-12	810	187	512
mitochondrial_cp-Cma-IleCAT-13	176	44	28
mitochondrial_cp-Cma-LeuTAG-16	649	83	177
mitochondrial_cp-Cma-SerGCT-11	0	0	0
mitochondrial_cp-Cma-TrpCCA-14	1583	268	533
mitochondrial_cp-Cma-TyrGTA-17	0	0	0
mitochondrial_fungal-Cma-GlnTTG-22	968	113	151
mitochondrial_fungal-Cma-GluTTC-20	0	0	1
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	183	21	1285
mitochondrial_fungal-Cma-SerGCT-23	11	3	8
mitochondrial_fungal-Cma-ThrTGT-21	3	1	0
mitochondrial_native-Cma-AsnGTT-8	13304	1322	2468
mitochondrial_native-Cma-AspGTC-7	6397	1417	2985
mitochondrial_native-Cma-CysGCA-3	2000	311	403
mitochondrial_native-Cma-GluTTC-1	10400	1433	2443
mitochondrial_native-Cma-IleCAT-5	11	1	1
mitochondrial_native-Cma-LysTTT-6	1902	294	964
mitochondrial_native-Cma-TyrGTA-4	5787	1312	2952
mitochondrial_native-Cma-eMetCAT-9	3132	464	525
mitochondrial_native-Cma-iMetCAT-2	23593	2533	4837
nuclear-Ath-AlaAGC-171748	674397	262093	918244
nuclear-Ath-AlaAGC-171749	1286	451	1681
nuclear-Ath-AlaAGC-183743	263	73	269
nuclear-Ath-AlaCGC-171750	609	235	769
nuclear-Ath-AlaCGC-171752	141749	52067	197134
nuclear-Ath-AlaCGC-183744	18	4	23
nuclear-Ath-AlaTGC-171747	140410	56043	185341
nuclear-Ath-AlaTGC-171751	40337	19452	62396
nuclear-Ath-ArgACG-171679	0	0	0
nuclear-Ath-ArgACG-171680	122	20	30
nuclear-Ath-ArgACG-171681	90595	25148	19083
nuclear-Ath-ArgACG-171682	8	1	4
nuclear-Ath-ArgACG-171683	1	0	1
nuclear-Ath-ArgACG-171772	0	0	0
nuclear-Ath-ArgCCG-171678	126990	21814	34993
nuclear-Ath-ArgCCG-171686	837	137	192
nuclear-Ath-ArgCCG-183763	0	0	0
nuclear-Ath-ArgCCT-171715	6	0	15
nuclear-Ath-ArgCCT-171716	99311	23748	26540
nuclear-Ath-ArgCCT-171719	5	0	3
nuclear-Ath-ArgTCG-171676	172926	46363	58349
nuclear-Ath-ArgTCG-171677	937	232	276
nuclear-Ath-ArgTCT-171693	0	0	0
nuclear-Ath-ArgTCT-171694	0	0	0
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	39	24	231
nuclear-Ath-ArgTCT-171714	9717	1230	1996
nuclear-Ath-ArgTCT-171717	31	5	3
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	153	24	35
nuclear-Ath-AsnGTT-171727	23	10	13
nuclear-Ath-AsnGTT-171729	23	5	5
nuclear-Ath-AsnGTT-183736	35022	13199	16487
nuclear-Ath-AsnGTT-183737	1	0	0
nuclear-Ath-AsnGTT-183738	5	0	1
nuclear-Ath-AsnGTT-183739	7	2	3
nuclear-Ath-AspGTC-171804	510532	125307	128531
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	1
nuclear-Ath-AspGTC-183756	58	15	142
nuclear-Ath-AspGTC-183757	22	11	81
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	17611	2980	5909
nuclear-Ath-CysGCA-171757	18	4	5
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	5	0	2
nuclear-Ath-CysGCA-171762	6	0	1
nuclear-Ath-CysGCA-183716	0	0	2
nuclear-Ath-CysGCA-183742	0	0	0
nuclear-Ath-CysGCA-183745	1	0	0
nuclear-Ath-GlnCTG-171763	54834	6141	10701
nuclear-Ath-GlnCTG-171765	42	6	36
nuclear-Ath-GlnCTG-171773	1	0	0
nuclear-Ath-GlnCTG-171774	42390	6410	11327
nuclear-Ath-GlnCTG-171775	1	1	1
nuclear-Ath-GlnTTG-171777	90011	16080	11990
nuclear-Ath-GlnTTG-183749	3	0	4
nuclear-Ath-GluCTC-171821	5	0	6
nuclear-Ath-GluCTC-171824	2536	478	891
nuclear-Ath-GluCTC-171825	80436	13026	26659
nuclear-Ath-GluCTC-183765	2290	341	715
nuclear-Ath-GluTTC-171820	3	1	3
nuclear-Ath-GluTTC-171822	27	7	2
nuclear-Ath-GluTTC-171826	275	41	51
nuclear-Ath-GluTTC-183764	93170	12916	20994
nuclear-Ath-GlyCCC-171713	249290	56269	85874
nuclear-Ath-GlyGCC-171688	4	0	2
nuclear-Ath-GlyGCC-171690	122	18	26
nuclear-Ath-GlyGCC-171691	517372	93706	148568
nuclear-Ath-GlyGCC-171692	154	34	72
nuclear-Ath-GlyGCC-183730	0	0	0
nuclear-Ath-GlyTCC-171720	198920	56602	103997
nuclear-Ath-HisGTG-171768	22	10	6
nuclear-Ath-HisGTG-171770	49172	13665	31728
nuclear-Ath-HisGTG-183747	0	0	0
nuclear-Ath-HisGTG-183748	0	0	0
nuclear-Ath-IleAAT-171735	267665	92403	307701
nuclear-Ath-IleAAT-171736	7	0	1673
nuclear-Ath-IleTAT-171721	0	0	0
nuclear-Ath-IleTAT-171764	3882	1931	2130
nuclear-Ath-LeuAAG-171816	3893	1010	1221
nuclear-Ath-LeuAAG-171817	20937	5987	8164
nuclear-Ath-LeuCAA-171786	100443	27006	34300
nuclear-Ath-LeuCAA-171787	1118	261	276
nuclear-Ath-LeuCAA-171789	38111	10017	12810
nuclear-Ath-LeuCAA-171790	157	27	64
nuclear-Ath-LeuCAA-183751	111	26	666
nuclear-Ath-LeuCAG-171781	264907	72584	85961
nuclear-Ath-LeuTAA-171698	92	8	17
nuclear-Ath-LeuTAA-171699	95491	24495	21553
nuclear-Ath-LeuTAA-171791	4	1	2
nuclear-Ath-LeuTAG-171673	167	41	51
nuclear-Ath-LeuTAG-171675	131138	51212	51099
nuclear-Ath-LeuTAG-171685	82	24	38
nuclear-Ath-LysCTT-171703	63	6	15
nuclear-Ath-LysCTT-171704	574540	101175	130371
nuclear-Ath-LysCTT-183733	6	1	0
nuclear-Ath-LysTTT-171707	0	0	0
nuclear-Ath-LysTTT-171712	12396	1647	1893
nuclear-Ath-LysTTT-183734	6	1	1
nuclear-Ath-LysTTT-183735	0	0	0
nuclear-Ath-PheGAA-171718	61663	22408	32230
nuclear-Ath-ProAGG-171737	103063	15313	24633
nuclear-Ath-ProAGG-171738	0	0	3
nuclear-Ath-ProAGG-171743	0	1	0
nuclear-Ath-ProCGG-171739	0	0	7
nuclear-Ath-ProCGG-171760	0	0	0
nuclear-Ath-ProCGG-171761	84255	11202	22948
nuclear-Ath-ProTGG-171741	635	80	160
nuclear-Ath-ProTGG-171744	49537	6832	11832
nuclear-Ath-ProTGG-183741	23	2	16
nuclear-Ath-SerAGA-171812	101	42	93
nuclear-Ath-SerAGA-171813	16938	4560	7259
nuclear-Ath-SerAGA-171814	13	4	97
nuclear-Ath-SerAGA-171815	22220	7426	11773
nuclear-Ath-SerAGA-183750	8	7	16
nuclear-Ath-SerAGA-183759	7	0	1
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	18	9	13
nuclear-Ath-SerCGA-171782	40722	17602	30135
