Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	252	5672	15058
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	1809	593	2394
mitochondrial_cp-Cma-HisGTG-15	4216	1939	4160
mitochondrial_cp-Cma-IleCAT-12	358	222	1072
mitochondrial_cp-Cma-IleCAT-13	16	34	72
mitochondrial_cp-Cma-LeuTAG-16	81	37	37
mitochondrial_cp-Cma-SerGCT-11	0	0	0
mitochondrial_cp-Cma-TrpCCA-14	276	139	427
mitochondrial_cp-Cma-TyrGTA-17	0	4	0
mitochondrial_fungal-Cma-GlnTTG-22	71	24	42
mitochondrial_fungal-Cma-GluTTC-20	0	0	0
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	21	9	397
mitochondrial_fungal-Cma-SerGCT-23	0	3	7
mitochondrial_fungal-Cma-ThrTGT-21	0	0	0
mitochondrial_native-Cma-AsnGTT-8	1181	325	985
mitochondrial_native-Cma-AspGTC-7	1473	522	1778
mitochondrial_native-Cma-CysGCA-3	277	235	256
mitochondrial_native-Cma-GluTTC-1	1924	1414	3255
mitochondrial_native-Cma-IleCAT-5	0	0	1
mitochondrial_native-Cma-LysTTT-6	477	200	583
mitochondrial_native-Cma-TyrGTA-4	1293	720	3428
mitochondrial_native-Cma-eMetCAT-9	457	159	294
mitochondrial_native-Cma-iMetCAT-2	5244	1037	2642
nuclear-Ath-AlaAGC-171748	41312	41591	246561
nuclear-Ath-AlaAGC-171749	517	455	2729
nuclear-Ath-AlaAGC-183743	2181	2068	17481
nuclear-Ath-AlaCGC-171750	148	209	1488
nuclear-Ath-AlaCGC-171752	9261	12392	104459
nuclear-Ath-AlaCGC-183744	209	145	607
nuclear-Ath-AlaTGC-171747	11336	13395	95194
nuclear-Ath-AlaTGC-171751	5025	7276	46023
nuclear-Ath-ArgACG-171679	9	8	7
nuclear-Ath-ArgACG-171680	46	26	74
nuclear-Ath-ArgACG-171681	26133	17228	27889
nuclear-Ath-ArgACG-171682	18	12	16
nuclear-Ath-ArgACG-171683	11	6	17
nuclear-Ath-ArgACG-171772	0	2	6
nuclear-Ath-ArgCCG-171678	31099	10534	25866
nuclear-Ath-ArgCCG-171686	407	177	483
nuclear-Ath-ArgCCG-183763	3	0	2
nuclear-Ath-ArgCCT-171715	6	1	14
nuclear-Ath-ArgCCT-171716	17692	9566	20886
nuclear-Ath-ArgCCT-171719	13	5	10
nuclear-Ath-ArgTCG-171676	34097	25260	64592
nuclear-Ath-ArgTCG-171677	186	101	174
nuclear-Ath-ArgTCT-171693	0	0	0
nuclear-Ath-ArgTCT-171694	40	8	13
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	8736	3581	9317
nuclear-Ath-ArgTCT-171714	10809	4389	11824
nuclear-Ath-ArgTCT-171717	1678	723	1929
nuclear-Ath-ArgTCT-183731	32	12	24
nuclear-Ath-AsnGTT-171725	400	176	670
nuclear-Ath-AsnGTT-171727	1264	574	2240
nuclear-Ath-AsnGTT-171729	2482	1413	4125
nuclear-Ath-AsnGTT-183736	8696	5428	18908
nuclear-Ath-AsnGTT-183737	1	1	6
nuclear-Ath-AsnGTT-183738	974	454	1365
nuclear-Ath-AsnGTT-183739	5	6	62
nuclear-Ath-AspGTC-171804	87554	55451	115063
nuclear-Ath-AspGTC-183754	15	5	8
nuclear-Ath-AspGTC-183755	2	1	4
nuclear-Ath-AspGTC-183756	27	21	1824
nuclear-Ath-AspGTC-183757	12	4	439
nuclear-Ath-CysGCA-171684	2	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	1768	925	2582
nuclear-Ath-CysGCA-171757	3	0	7
nuclear-Ath-CysGCA-171758	0	0	2
nuclear-Ath-CysGCA-171759	0	1	0
nuclear-Ath-CysGCA-171762	440	185	325
nuclear-Ath-CysGCA-183716	0	0	11
nuclear-Ath-CysGCA-183742	0	0	0
nuclear-Ath-CysGCA-183745	302	148	247
nuclear-Ath-GlnCTG-171763	7084	4242	7927
nuclear-Ath-GlnCTG-171765	588	370	879
nuclear-Ath-GlnCTG-171773	1	0	0
nuclear-Ath-GlnCTG-171774	6079	4850	8884
nuclear-Ath-GlnCTG-171775	28	19	46
nuclear-Ath-GlnTTG-171777	5188	4821	8287
nuclear-Ath-GlnTTG-183749	12	5	49
nuclear-Ath-GluCTC-171821	5	3	18
nuclear-Ath-GluCTC-171824	7047	1763	3598
nuclear-Ath-GluCTC-171825	22848	7007	14858
nuclear-Ath-GluCTC-183765	1163	360	749
nuclear-Ath-GluTTC-171820	0	0	4
nuclear-Ath-GluTTC-171822	0	0	0
nuclear-Ath-GluTTC-171826	16	2	13
nuclear-Ath-GluTTC-183764	3902	1920	8621
nuclear-Ath-GlyCCC-171713	43395	24494	67314
nuclear-Ath-GlyGCC-171688	119	47	160
nuclear-Ath-GlyGCC-171690	6125	2049	5810
nuclear-Ath-GlyGCC-171691	96238	41761	108844
nuclear-Ath-GlyGCC-171692	410	205	379
nuclear-Ath-GlyGCC-183730	2	2	4
nuclear-Ath-GlyTCC-171720	11526	10319	38518
nuclear-Ath-HisGTG-171768	2778	2014	4259
nuclear-Ath-HisGTG-171770	11233	9489	20024
nuclear-Ath-HisGTG-183747	1	3	4
nuclear-Ath-HisGTG-183748	0	0	0
nuclear-Ath-IleAAT-171735	34528	38371	164914
nuclear-Ath-IleAAT-171736	3	0	283
nuclear-Ath-IleTAT-171721	0	2	0
nuclear-Ath-IleTAT-171764	972	1319	2202
nuclear-Ath-LeuAAG-171816	19080	14263	42353
nuclear-Ath-LeuAAG-171817	20267	15072	44324
nuclear-Ath-LeuCAA-171786	15018	10880	30019
nuclear-Ath-LeuCAA-171787	5285	3573	10173
nuclear-Ath-LeuCAA-171789	14198	9744	29983
nuclear-Ath-LeuCAA-171790	17	19	57
nuclear-Ath-LeuCAA-183751	6383	4174	12299
nuclear-Ath-LeuCAG-171781	39350	27811	74236
nuclear-Ath-LeuTAA-171698	5425	2987	7890
nuclear-Ath-LeuTAA-171699	14986	9569	18505
nuclear-Ath-LeuTAA-171791	0	0	0
nuclear-Ath-LeuTAG-171673	8	7	42
nuclear-Ath-LeuTAG-171675	29059	33495	139140
nuclear-Ath-LeuTAG-171685	25488	28447	127254
nuclear-Ath-LysCTT-171703	3512	1842	4331
nuclear-Ath-LysCTT-171704	75445	36239	75139
nuclear-Ath-LysCTT-183733	2839	1255	2132
nuclear-Ath-LysTTT-171707	41	22	31
nuclear-Ath-LysTTT-171712	2659	1121	1664
nuclear-Ath-LysTTT-183734	67	24	45
nuclear-Ath-LysTTT-183735	0	1	0
nuclear-Ath-PheGAA-171718	7541	6689	17835
nuclear-Ath-ProAGG-171737	21527	11451	20682
nuclear-Ath-ProAGG-171738	0	0	24
nuclear-Ath-ProAGG-171743	83	42	63
nuclear-Ath-ProCGG-171739	15	6	34
nuclear-Ath-ProCGG-171760	2	3	3
nuclear-Ath-ProCGG-171761	19145	8795	27026
nuclear-Ath-ProTGG-171741	416	207	523
nuclear-Ath-ProTGG-171744	10270	4972	12935
nuclear-Ath-ProTGG-183741	3140	1838	5015
nuclear-Ath-SerAGA-171812	5326	3977	13479
nuclear-Ath-SerAGA-171813	5642	3467	11365
nuclear-Ath-SerAGA-171814	2936	2392	7794
nuclear-Ath-SerAGA-171815	5045	3278	9229
nuclear-Ath-SerAGA-183750	7	6	35
nuclear-Ath-SerAGA-183759	1334	990	5029
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	1
nuclear-Ath-SerAGA-183762	528	218	884
nuclear-Ath-SerCGA-171782	7776	7234	22915
nuclear-Ath-SerCGA-171785	0	0	0
nuclear-Ath-SerCGA-171794	11	7	10
nuclear-Ath-SerGCT-171796	12	2	7
nuclear-Ath-SerGCT-171797	0	2	5
nuclear-Ath-SerGCT-171798	17715	9756	16474
nuclear-Ath-SerGCT-171800	180	57	82
nuclear-Ath-SerGCT-183728	0	0	0
nuclear-Ath-SerGCT-183752	2	0	0
nuclear-Ath-SerGCT-183753	88	32	68
nuclear-Ath-SerTGA-171783	8	5	40
nuclear-Ath-SerTGA-171784	2	0	0
nuclear-Ath-SerTGA-171792	4818	7253	20650
nuclear-Ath-SerTGA-171793	26	14	36
nuclear-Ath-ThrAGT-171722	23	13	77
nuclear-Ath-ThrAGT-171723	12686	6709	19105
nuclear-Ath-ThrAGT-171731	66	40	121
nuclear-Ath-ThrCGT-171709	67801	54093	61354
nuclear-Ath-ThrCGT-171710	77	24	115
nuclear-Ath-ThrCGT-171711	525	297	209
nuclear-Ath-ThrTGT-171700	26	16	54
nuclear-Ath-ThrTGT-171705	2589	2075	6115
nuclear-Ath-ThrTGT-183732	2	3	2
nuclear-Ath-TrpCCA-171732	35690	49797	226484
nuclear-Ath-TrpCCA-171734	33158	45238	198999
nuclear-Ath-TrpCCA-183740	852	805	2777
nuclear-Ath-TyrGTA-171663	92	47	112
nuclear-Ath-TyrGTA-171666	1333	684	2667
nuclear-Ath-TyrGTA-171668	1	1	10
nuclear-Ath-TyrGTA-183718	1	0	1
nuclear-Ath-TyrGTA-183719	41	14	29
nuclear-Ath-TyrGTA-183720	0	0	0
nuclear-Ath-TyrGTA-183721	0	0	0
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	19
nuclear-Ath-TyrGTA-183724	100	16	56
nuclear-Ath-TyrGTA-183725	1	0	10
nuclear-Ath-TyrGTA-183726	3	0	0
nuclear-Ath-TyrGTA-183727	13	3	4
nuclear-Ath-ValAAC-171778	786	559	4255
nuclear-Ath-ValAAC-171779	18604	21044	172662
nuclear-Ath-ValCAC-171807	1821	2047	7539
nuclear-Ath-ValCAC-183758	1281	1426	5435
nuclear-Ath-ValTAC-171767	253	169	900
nuclear-Ath-ValTAC-183729	0	1	4
nuclear-Ath-ValTAC-183746	2	0	4
nuclear-Ath-eMetCAT-171754	13181	10925	58846
nuclear-Ath-iMetCAT-171655	0	4	82
nuclear-Ath-iMetCAT-171658	4	0	80
nuclear-Ath-iMetCAT-171659	2469	1777	4358
nuclear-Ath-iMetCAT-183717	0	0	0
plastid-Cma-AlaTGC-22	2544	1759	7983
plastid-Cma-ArgACG-20	6062	6314	20675
plastid-Cma-ArgTCT-15	1060	412	778
plastid-Cma-AsnGTT-27	2917	630	2360
plastid-Cma-AspGTC-19	1311	753	2457
plastid-Cma-CysGCA-18	1014	695	1183
plastid-Cma-GlnTTG-28	2098	745	2341
plastid-Cma-GluTTC-8	4123	1772	5763
plastid-Cma-GlyGCC-14	333	49	147
plastid-Cma-GlyTCC-30	188	66	128
plastid-Cma-HisGTG-13	9532	3989	9922
plastid-Cma-IleCAT-29	1021	699	2923
plastid-Cma-IleGAT-21	2508	1519	3241
plastid-Cma-LeuCAA-11	1362	641	1989
plastid-Cma-LeuTAA-23	376	137	308
plastid-Cma-LeuTAG-10	2725	768	1604
plastid-Cma-LysTTT-25	149	95	269
plastid-Cma-PheGAA-26	565	359	1441
plastid-Cma-ProTGG-2	338	112	89
plastid-Cma-SerGCT-17	678	177	384
plastid-Cma-SerGGA-16	293	106	263
plastid-Cma-SerTGA-6	256	53	110
plastid-Cma-ThrGGT-9	520	160	203
plastid-Cma-ThrTGT-7	1679	454	658
plastid-Cma-TrpCCA-12	517	214	666
