Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	239	10933	32526
mitochondrial_bact-Cma-CysGCA-18	0	0	0
mitochondrial_cp-Cma-GlnTTG-10	1773	534	1903
mitochondrial_cp-Cma-HisGTG-15	6966	2391	4621
mitochondrial_cp-Cma-IleCAT-12	397	222	790
mitochondrial_cp-Cma-IleCAT-13	6	24	16
mitochondrial_cp-Cma-LeuTAG-16	107	33	55
mitochondrial_cp-Cma-SerGCT-11	0	0	3
mitochondrial_cp-Cma-TrpCCA-14	487	177	527
mitochondrial_cp-Cma-TyrGTA-17	0	0	0
mitochondrial_fungal-Cma-GlnTTG-22	169	23	52
mitochondrial_fungal-Cma-GluTTC-20	0	0	0
mitochondrial_fungal-Cma-GlyTCC-24	0	0	0
mitochondrial_fungal-Cma-LysTTT-25	0	0	0
mitochondrial_fungal-Cma-MetCAT-19	42	6	385
mitochondrial_fungal-Cma-SerGCT-23	4	0	2
mitochondrial_fungal-Cma-ThrTGT-21	0	0	0
mitochondrial_native-Cma-AsnGTT-8	1870	435	1038
mitochondrial_native-Cma-AspGTC-7	3640	959	3344
mitochondrial_native-Cma-CysGCA-3	281	232	199
mitochondrial_native-Cma-GluTTC-1	2884	1620	4375
mitochondrial_native-Cma-IleCAT-5	0	0	2
mitochondrial_native-Cma-LysTTT-6	1138	338	1014
mitochondrial_native-Cma-TyrGTA-4	1861	626	3414
mitochondrial_native-Cma-eMetCAT-9	964	303	418
mitochondrial_native-Cma-iMetCAT-2	13286	2172	4265
nuclear-Ath-AlaAGC-171748	60196	44149	278139
nuclear-Ath-AlaAGC-171749	28	28	127
nuclear-Ath-AlaAGC-183743	219	138	1065
nuclear-Ath-AlaCGC-171750	24	9	57
nuclear-Ath-AlaCGC-171752	25490	20662	164320
nuclear-Ath-AlaCGC-183744	11	7	15
nuclear-Ath-AlaTGC-171747	13310	10195	75599
nuclear-Ath-AlaTGC-171751	8973	8464	61968
nuclear-Ath-ArgACG-171679	0	0	0
nuclear-Ath-ArgACG-171680	10	4	5
nuclear-Ath-ArgACG-171681	29435	14733	22026
nuclear-Ath-ArgACG-171682	8	0	3
nuclear-Ath-ArgACG-171683	0	0	0
nuclear-Ath-ArgACG-171772	0	0	0
nuclear-Ath-ArgCCG-171678	48468	13691	33880
nuclear-Ath-ArgCCG-171686	650	237	645
nuclear-Ath-ArgCCG-183763	0	0	2
nuclear-Ath-ArgCCT-171715	1	0	5
nuclear-Ath-ArgCCT-171716	27454	12690	26725
nuclear-Ath-ArgCCT-171719	1	0	2
nuclear-Ath-ArgTCG-171676	44822	26118	61066
nuclear-Ath-ArgTCG-171677	49	18	18
nuclear-Ath-ArgTCT-171693	0	0	0
nuclear-Ath-ArgTCT-171694	0	0	1
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	29	53	139
nuclear-Ath-ArgTCT-171714	1435	438	897
nuclear-Ath-ArgTCT-171717	673	154	340
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	12	4	11
nuclear-Ath-AsnGTT-171727	185	83	471
nuclear-Ath-AsnGTT-171729	171	52	86
nuclear-Ath-AsnGTT-183736	8627	5159	15492
nuclear-Ath-AsnGTT-183737	2	0	1
nuclear-Ath-AsnGTT-183738	6	0	7
nuclear-Ath-AsnGTT-183739	1	4	2
nuclear-Ath-AspGTC-171804	183967	85613	159111
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	16	15	77
nuclear-Ath-AspGTC-183757	10	3	12
nuclear-Ath-CysGCA-171684	0	0	0
