Position	Strand	Depth	Trans_Depth
50	FR	0	-1
50	RF	40.63	1.60884682232641
150	FR	0.97	-1
150	RF	88.79	1.94836405598837
250	FR	3.38	-1
250	RF	116.96	2.06803735961378
350	FR	10.5	-1.02118929906994
350	RF	142.34	2.15332696149091
450	FR	9.53	-1
450	RF	133.26	2.12469980893212
550	FR	14.54	-1.16256440652302
550	RF	119.85	2.07863803836967
650	FR	15.74	-1.19700472802305
650	RF	121.55	2.08475496317935
750	FR	12.88	-1.10991586302379
750	RF	152.31	2.18272841812427
850	FR	8.42	-1
850	RF	192.45	2.28431791543061
950	FR	7.61	-1
950	RF	203.23	2.30798781715901
1050	FR	11.21	-1.04960561259497
1050	RF	178.57	2.25180849862405
1150	FR	4.62	-1
1150	RF	150.56	2.17770960608318
1250	FR	2.27	-1
1250	RF	135.73	2.13267584909296
1350	FR	3.65	-1
1350	RF	130.45	2.11544408343624
1450	FR	6.87	-1
1450	RF	157.7	2.1978316933289
1550	FR	10.44	-1.01870049866624
1550	RF	158.57	2.20022102619188
1650	FR	10.79	-1.03302144468291
1650	RF	146.76	2.16660770308391
1750	FR	16.66	-1.22167499707077
1750	RF	154.93	2.19013552087703
1850	FR	36.96	-1.56773196254807
1850	RF	233.39	2.36808224400645
1950	FR	26.28	-1.41962536088774
1950	RF	320.34	2.50561117124155
2050	FR	18.57	-1.26881190373978
2050	RF	331.38	2.52032629360732
2150	FR	10.35	-1.01494034979294
2150	RF	323.15	2.50940416025869
2250	FR	9.55	-1
2250	RF	253.78	2.40445739304675
2350	FR	18.73	-1.27253777737524
2350	RF	184.7	2.26646689544024
2450	FR	24.44	-1.38810120157052
2450	RF	114.17	2.05755200105453
2550	FR	17.67	-1.24723654950676
2550	RF	41.88	1.6220066730068
2650	FR	20.28	-1.3070679506613
2650	RF	32.09	1.5063697170955
2750	FR	11.9	-1.07554696139253
2750	RF	42.97	1.6331653536839
2850	FR	5.82	-1
2850	RF	52.85	1.72304499164344
2950	FR	13.58	-1.13289976994448
2950	RF	45.44	1.65743832270296
3050	FR	18.16	-1.25911584418507
3050	RF	31.43	1.49734438101758
3150	FR	22.31	-1.34849957028384
3150	RF	25.1	1.39967372148104
3250	FR	21.54	-1.33324569896196
3250	RF	36.42	1.5613399414589
3350	FR	12.06	-1.08134730780413
3350	RF	35.45	1.54961623951909
3450	FR	13.73	-1.13767053723676
3450	RF	28.18	1.44994098877334
3550	FR	15.62	-1.19368102954128
3550	RF	22.66	1.35525990552738
3650	FR	11.93	-1.07664044367034
3650	RF	19.54	1.29092455938275
3750	FR	9.73	-1
3750	RF	20.86	1.31931430409051
3850	FR	10.39	-1.01661554755718
3850	RF	38.67	1.58737417207307
3950	FR	13.28	-1.123198075032
3950	RF	61.44	1.78845120702346
4050	FR	14.65	-1.16583762469013
4050	RF	100.76	2.00328815882608
4150	FR	8.94	-1
4150	RF	120.68	2.08163530150295
4250	FR	7.59	-1
4250	RF	85.47	1.93181370395914
4350	FR	4.67	-1
4350	RF	75.55	1.87823446867504
4450	FR	19	-1.27875360095283
4450	RF	61.79	1.79091819521458
4550	FR	32.19	-1.50772097668561
4550	RF	42.47	1.62808226099068
4650	FR	35.12	-1.54555450723406
4650	RF	59.61	1.77531912182948
4750	FR	44.95	-1.65272969606925
4750	RF	41.73	1.62044838471171
4850	FR	31.71	-1.50119624202709
4850	RF	23.74	1.37548071461857
4950	FR	35.13	-1.54567814979203
4950	RF	18.44	1.26576091671761
5050	FR	42.63	-1.62971533264713
5050	RF	42.56	1.62900161928699
5150	FR	36.56	-1.56300618706179
5150	RF	55.75	1.7462448717202
5250	FR	36.62	-1.56371833996568
5250	RF	54.02	1.73255457985143
5350	FR	34.25	-1.53466057582844
5350	RF	157.42	2.19705990806021
5450	FR	34.59	-1.53895056201436
5450	RF	187.35	2.27265369742982
5550	FR	48.48	-1.68556261115823
5550	RF	195.04	2.29012368827431
5650	FR	58.15	-1.76454971906447
5650	RF	145.24	2.16208624024085
5750	FR	54.89	-1.73949323078161
5750	RF	158.17	2.19912411462332
5850	FR	49.05	-1.69063901171597
5850	RF	181.96	2.25997592815792
5950	FR	49.85	-1.69766516264767
5950	RF	205.62	2.31306535481351
6050	FR	60.3	-1.78031731214015
6050	RF	214.07	2.330555809063
6150	FR	41.26	-1.61552922363713
6150	RF	181.82	2.25964165342886
6250	FR	45.96	-1.66238002001625
6250	RF	184.55	2.26611404953168
6350	FR	43.8	-1.6414741105041
6350	RF	165.84	2.2196892890858
6450	FR	55.24	-1.74225366990659
6450	RF	161.45	2.20803804935318
6550	FR	58.37	-1.76618969331016
6550	RF	105.21	2.02205702060116
6650	FR	54.39	-1.73551905881517
6650	RF	106.5	2.02734960777476
6750	FR	58.68	-1.76849010517125
6750	RF	105.6	2.02366391819779
6850	FR	62.44	-1.79546289439038
6850	RF	104.62	2.01961471569142
6950	FR	55.27	-1.74248946458177
6950	RF	94.62	1.97598294371255
7050	FR	49.66	-1.69600671521855
7050	RF	87.5	1.94200805302231
7150	FR	42.75	-1.63093611906419
7150	RF	54.78	1.73862202791794
7250	FR	75.57	-1.87834942221778
7250	RF	57.35	1.75853342223729
7350	FR	119.63	-2.07784010273499
7350	RF	78.44	1.89453758499575
7450	FR	101.85	-2.00796103333618
7450	RF	84.53	1.92701086897565
7550	FR	90.02	-1.95433900860246
7550	RF	75.36	1.87714088978482
7650	FR	91.46	-1.96123119704466
7650	RF	54.96	1.74004672405149
7750	FR	93.2	-1.96941591235398
7750	RF	313.55	2.49630680511137
7850	FR	86.26	-1.93580945380993
7850	RF	800.67	2.90345355639709
7950	FR	94.67	-1.97621237711738
7950	RF	1798.56	3.25492493046938
8050	FR	92.16	-1.96454246607914
8050	RF	1791.56	3.25323135742681
8150	FR	75.76	-1.87943996599522
8150	RF	1673.52	3.22363090691652
8250	FR	42.42	-1.62757066418054
8250	RF	1253.83	3.0982386568561
8350	FR	40.01	-1.602168551379
8350	RF	1188.28	3.07491878755336
8450	FR	58.19	-1.76484835719341
